english_name,chinese_name
"CREATIVE KINDERGARTEN (MA WAN)","啓思幼稚園(馬灣)"
"CREATIVE KINDERGARTEN (SCENEWAY GARDEN)","啓思幼稚園(匯景花園)"
"CREATIVE KINDERGARTEN (SHAM WAN TOWERS)","啓思幼稚園（深灣軒）"
"CREATIVE KINDERGARTEN (TSING YI)","啓思幼稚園（青衣）"
"CREATIVE KINDERGARTEN (TUEN MUN BRANCH)","啓思幼稚園(屯門分校)"
"CREATIVE PRIMARY SCHOOL","啓思小學"
"CREATIVE PRIMARY SCHOOL'S KINDERGARTEN","啓思小學附屬幼稚園"
"CREATIVE SECONDARY SCHOOL","啓思中學"
"CUHK FAA CHAN CHUN HA KINDERGARTEN","香港中文大學校友會聯會陳震夏幼稚園"
"CUHK FAA CHAN CHUN HA SECONDARY SCHOOL","香港中文大學校友會聯會陳震夏中學"
"CUHK FAA SHUN LUNG YAN CHAK KINDERGARTEN","香港中文大學校友會聯會順龍仁澤幼稚園"
"CUHK FEDERATION OF ALUMNI ASSOCIATION THOMAS CHEUNG SCHOOL","香港中文大學校友會聯會張煊昌學校"
"CUHK FEDERATION OF ALUMNI ASSOCIATIONS THOMAS CHEUNG KINDERGARTEN","香港中文大學校友會聯會張煊昌幼稚園"
"CUHK FEDERATION OF ALUMNI ASSOCIATIONS THOMAS CHEUNG SECONDARY SCHOOL","香港中文大學校友會聯會張煊昌中學"
"CUMBERLAND PRESBYTERIAN CHURCH GREEN PASTURE KINDERGARTEN","金巴崙長老會青草地幼稚園"
"CUMBERLAND PRESBYTERIAN CHURCH YAO DAO PRIMARY SCHOOL","金巴崙長老會耀道小學"
"CUMBERLAND PRESBYTERIAN CHURCH YAO DAO SECONDARY SCHOOL","金巴崙長老會耀道中學"
"DALTON SCHOOL HONG KONG","香港道爾頓學校"
"DAUGHTERS OF MARY HELP OF CHRISTIANS SIU MING CATHOLIC SECONDARY SCHOOL","天主教母佑會蕭明中學"
"DAVID (EXODUS) KINDERGARTEN","大衛幼稚園"
"DAWNING VIEWS ELEMENTI ENGLISH KINDERGARTEN","牽晴間培元英文幼稚園"
"DE LA SALLE SECONDARY SCHOOL N T","新界喇沙中學"
"DEBORAH ENGLISH KINDERGARTEN (TSEUNG KWAN O)","德寶英文幼稚園（將軍澳）"
"DEBORAH INTERNATIONAL PRE-SCHOOL (BAUHINIA GARDEN)","德寶國際幼兒學校（寶盈花園）"
"DEBORAH INTERNATIONAL PRE-SCHOOL (TSEUNG KWAN O)","德寶國際幼兒學校（將軍澳）"
"DELIA (MAN KIU) ENGLISH PRIMARY SCHOOL","地利亞(閩僑)英文小學"
"DELIA ENGLISH PRIMARY SCHOOL & KINDERGARTEN","地利亞英文小學暨幼稚園"
"DELIA MEMORIAL SCHOOL (BROADWAY )","地利亞修女紀念學校﹝百老匯﹞"
"DELIA MEMORIAL SCHOOL (GLEE PATH)","地利亞修女紀念學校(吉利徑)"
"DELIA MEMORIAL SCHOOL (HIP WO NO.2 COLLEGE)","地利亞修女紀念學校(協和二中)"
"DELIA MEMORIAL SCHOOL (HIP WO)","地利亞修女紀念學校(協和)"
"DIAMOND HILL BAPTIST CHURCH BRIGHT BLOSSOMS KINDERGARTEN","鑽石山浸信會美欣幼稚園"
"DIAMOND HILL LING LIANG KINDERGARTEN","鑽石山靈糧幼稚園"
"DIOCESAN BOYS' SCHOOL","拔萃男書院"
"DIOCESAN GIRLS' JUNIOR SCHOOL","拔萃女小學"
"DIOCESAN GIRLS' SCHOOL","拔萃女書院"
"DIOCESAN PREPARATORY SCHOOL","拔萃小學"
"DISCOVERY BAY INTERNATIONAL SCHOOL","愉景灣國際學校"
"DISCOVERY COLLEGE","智新書院"
"DISCOVERY MIND KINDERGARTEN","弘志幼稚園"
"DISCOVERY MIND KINDERGARTEN (TUNG CHUNG)","弘志幼稚園(東涌)"
"DISCOVERY MIND PRIMARY SCHOOL","弘志學校"
"DISCOVERY MONTESSORI ACADEMY","探索蒙特梭利學院"
"DISCOVERY MONTESSORI SCHOOL","香港國際蒙特梭利學校"
"DISCOVERY MONTESSORI SCHOOL (CENTRAL)","香港國際蒙特梭利學校(中環)"
"DOMINIC SAVIO KINDERGARTEN","明我幼稚園"
"DOMINIC SAVIO KINDERGARTEN (OLYMPIC BRANCH)","明我幼稚園（奧運校）"
"DR. CATHERINE F. WOO MEMORIAL SCHOOL","胡素貞博士紀念學校"
"DSC INTERNATIONAL SCHOOL","德思齊加拿大國際學校"
"EBENEZER NEW HOPE SCHOOL (PRIMARY SECTION)","心光恩望學校(小學部)"
"EBENEZER NEW HOPE SCHOOL (SECONDARY SECTION)","心光恩望學校(中學部)"
"EBENEZER SCHOOL (PRIMARY SECTION)","心光學校(小學部)"
"EBENEZER SCHOOL (SECONDARY SECTION)","心光學校(中學部)"
"EIS INTERNATIONAL PRE-SCHOOL","艾蒙特國際幼稚園"
"ELCHK AMAZING GRACE NURSERY SCHOOL","基督教香港信義會基恩幼兒學校"
"ELCHK CHUNG ON NURSERY SCHOOL","基督教香港信義會頌安幼兒學校"
"ELCHK GRACE NURSERY SCHOOL","基督教香港信義會天恩幼兒學校"
"ELCHK HING WAH NURSERY SCHOOL","基督教香港信義會興華幼兒學校"
"ELCHK HUNG HOM LUTHERAN PRIMARY SCHOOL","基督教香港信義會紅磡信義學校"
"ELCHK KIN MING NURSERY SCHOOL","基督教香港信義會健明幼兒學校"
"ELCHK LING KUNG NURSERY SCHOOL","基督教香港信義會靈工幼兒學校"
"ELCHK LING ON NURSERY SCHOOL","基督教香港信義會靈安幼兒學校"
"ELCHK LUTHERAN ACADEMY","基督教香港信義會宏信書院"
"ELCHK LUTHERAN SCHOOL","基督教香港信義會啟信學校"
"ELCHK LUTHERAN SECONDARY SCHOOL","基督教香港信義會信義中學"
"ELCHK SHATIN LUTHERAN KINDERGARTEN","基督教香港信義會沙田信義幼稚園"
"ELCHK TSEUNG KWAN O KINDERGARTEN","基督教香港信義會將軍澳幼稚園"
"ELCHK, HING MAN NURSERY SCHOOL","基督教香港信義會興民幼兒學校"
"ELCHK, KAI YIP NURSERY SCHOOL","基督教香港信義會啟業幼兒學校"
"ELCHK, MA TAU WAI NURSERY SCHOOL","基督教香港信義會馬頭圍幼兒學校"
"ELCHK, OI LUN NURSERY SCHOOL","基督教香港信義會愛鄰幼兒學校"
"ELEGANTIA COLLEGE (SPONSORED BY EDUCATION CONVERGENCE)","風采中學(教育評議會主辦)"
"ELITE KIDS ANGLO-CHINESE KINDERGARTEN","英揚樂兒中英文幼稚園"
"EMMANUEL CHURCH SHATIN NURSERY SCHOOL","沙田靈光幼兒學校"
"EMMANUEL PRIMARY SCHOOL","靈光小學"
"EMMANUEL PRIMARY SCHOOL, KOWLOON","九龍靈光小學"
"EPOCH ANGLO-CHINESE KINDERGARTEN","怡寶中英文幼稚園"
"EPWORTH VILLAGE METHODIST CHURCH KINDERGARTEN","循道衛理聯合教會愛華村堂幼稚園"
"ERUDITE GOVERNMENT PRIMARY SCHOOL","安博官立小學"
"ESF ABACUS INTERNATIONAL KINDERGARTEN","英基雅柏國際幼稚園"
"ESF INTERNATIONAL KINDERGARTEN (HILLSIDE)","英基國際幼稚園（曉新）"
"ESF INTERNATIONAL KINDERGARTEN (TSING YI)","英基國際幼稚園（青衣）"
"ESF INTERNATIONAL KINDERGARTEN (TUNG CHUNG)","英基國際幼稚園(東涌)"
"ESF INTERNATIONAL KINDERGARTEN (WU KAI SHA)","英基國際幼稚園(烏溪沙)"
"EVANGEL COLLEGE","播道書院"
"EVANGELICAL FREE CHURCH OF CHINA - ABUNDANT GRACE CHURCH ABUNDANT GRACE NURSERY SCHOOL","中國基督教播道會厚恩堂厚恩幼兒學校"
"EVANGELICAL FREE CHURCH OF CHINA - PO NGA NURSERY SCHOOL","中國基督教播道會寶雅幼兒學校"
"EVANGELICAL FREE CHURCH OF CHINA - TIN YAN NURSERY SCHOOL","中國基督教播道會天恩幼兒學校"
"EVANGELICAL FREE CHURCH OF CHINA - VERBENA NURSERY SCHOOL","中國基督教播道會茵怡幼兒學校"
"EVANGELICAL LUTHERAN CHURCH OF HONG KONG NAM CHEONG KINDERGARTEN","基督教香港信義會南昌幼稚園"
"EVANGELIZE CHINA FELLOWSHIP BLESSINGS CREATIVITY KINDERGARTEN","基督教中國佈道會恩恩創意幼稚園"
"EVANGELIZE CHINA FELLOWSHIP HOLY WORD SCHOOL (PRIMARY SECTION)","基督教中國佈道會聖道學校(小學部)"
"EVANGELIZE CHINA FELLOWSHIP HOLY WORD SCHOOL (SECONDARY SECTION)","基督教中國佈道會聖道學校(中學部)"
"EVANGELIZE CHINA FELLOWSHIP SAINT TOO CANAAN COLLEGE","基督教中國佈道會聖道迦南書院"
"EXCEL LONDON COLLEGE (TSIM SHA TSUI)","倫敦卓越書院(尖沙咀)"
"F.D.B.W.A. SZETO HO SECONDARY SCHOOL","五邑司徒浩中學"
"FAIRCHILD KINDERGARTEN","楓薈幼稚園"
"FANLING ASSEMBLY OF GOD CHURCH GRACE LIGHT KINDERGARTEN","基督教粉嶺神召會恩光幼稚園"
"FANLING ASSEMBLY OF GOD CHURCH PRIMARY SCHOOL","基督教粉嶺神召會小學"
"FANLING BAPTIST CHURCH LUI MING CHOI KINDERGARTEN","粉嶺浸信會呂明才幼稚園"
"FANLING GOVERNMENT PRIMARY SCHOOL","粉嶺官立小學"
"FANLING GOVERNMENT SECONDARY SCHOOL","粉嶺官立中學"
"FANLING KAU YAN COLLEGE","粉嶺救恩書院"
"FANLING LUTHERAN SECONDARY SCHOOL","基督教香港信義會心誠中學"
"FANLING PUBLIC SCHOOL","粉嶺公立學校"
"FANLING RHENISH CHURCH SECONDARY SCHOOL","粉嶺禮賢會中學"
"FARM ROAD GOVERNMENT PRIMARY SCHOOL","農圃道官立小學"
"FIRST ASSEMBLY OF GOD CHURCH TIN CHAK NURSERY","神召會禮拜堂天澤幼稚園"
"FIRST ASSEMBLY OF GOD KINDERGARTEN","神召第一幼稚園"
"FIVE DISTRICTS BUSINESS WELFARE ASSOCIATION CHEUNG CHUK SHAN KINDERGARTEN","五邑工商總會張祝珊幼稚園"
"FIVE DISTRICTS BUSINESS WELFARE ASSOCIATION CHOW CHIN YAU SCHOOL","五邑鄒振猷學校"
"FIVE DISTRICTS BUSINESS WELFARE ASSOCIATION KINDERGARTEN","五邑工商總會幼稚園"
"FIVE DISTRICTS BUSINESS WELFARE ASSOCIATION KINDERGARTEN (ON SAU COURT)","五邑工商總會幼稚園(安秀苑)"
"FIVE DISTRICTS BUSINESS WELFARE ASSOCIATION SCHOOL","五邑工商總會學校"
"FONG SHU FOOK TONG FOUNDATION FONG SHU CHUEN PRIMARY SCHOOL","方樹福堂基金方樹泉小學"
"FOREST HOUSE WALDORF SCHOOL","樹宏學校"
"FORTRESS HILL METHODIST SECONDARY SCHOOL","炮台山循道衛理中學"
"FR. CUCCHIARA MEMORIAL SCHOOL","郭怡雅神父紀念學校"
"FREE METHODIST BRADBURY CHUN LEI PRIMARY SCHOOL","循理會白普理基金循理小學"
"FREE METHODIST CHURCH BRADBURY CHUN LEI NURSERY SCHOOL","循理會白普理循理幼兒學校"
"FREE METHODIST MEI LAM PRIMARY SCHOOL","循理會美林小學"
"FRESH FISH TRADERS' SCHOOL","鮮魚行學校"
"FU HENG BAPTIST LUI KWOK PAT FONG KINDERGARTEN","富亨浸信會呂郭碧鳳幼稚園"
"FU TAI LUTHERAN DAY NURSERY","路德會富泰幼稚園"
"FU YIU KINDERGARTEN","富瑤幼稚園"
"FUK LOY CHUEN KAM CHUEN KINDERGARTEN","福來邨錦全幼稚園"
"FUK TAK EDUCATION SOCIETY PRIMARY SCHOOL","福德學社小學"
"FUK WING STREET GOVERNMENT PRIM SCH","福榮街官立小學"
"FUKIEN SECONDARY SCHOOL","福建中學"
"FUKIEN SECONDARY SCHOOL (SIU SAI WAN)","福建中學(小西灣)"
"FUKIEN SECONDARY SCHOOL AFFILIATED SCHOOL","福建中學附屬學校"
"FUN CREATIVE KINDERGARTEN","歡樂創意幼稚園"
"FUN CREATIVE KINDERGARTEN (KWUN TONG BRANCH)","歡樂創意幼稚園(觀塘分校)"
"FUNG KAI INNOVATIVE SCHOOL","鳳溪創新小學"
"FUNG KAI KINDERGARTEN","鳳溪幼稚園"
"FUNG KAI LIU MAN SHEK TONG SECONDARY SCHOOL","鳳溪廖萬石堂中學"
"FUNG KAI LIU YUN-SUM MEMORIAL SCHOOL","鳳溪廖潤琛紀念學校"
"FUNG KAI NO.1 PRIMARY SCHOOL","鳳溪第一小學"
"FUNG KAI NO.1 SECONDARY SCHOOL","鳳溪第一中學"
"G.T. (ELLEN YEUNG) COLLEGE","優才(楊殷有娣)書院"
"GALILEE INTERNATIONAL KINDERGARTEN","伽利利國際幼稚園"
"GARDEN ESTATE BAPTIST NURSERY SCHOOL","花園大廈浸信會幼兒學校"
"GARDEN HOUSE WALDORF KINDERGARTEN","花園屋華爾道夫幼稚園"
"GARDEN HOUSE WALDORF SCHOOL","花園華德福學校"
"GENERAL CHAMBER OF COMMERCE & INDUSTRY OF THE TUNG KUN DISTRICT CHEONG WONG WAI PRIMARY SCHOOL","東莞工商總會張煌偉小學"
"GENERAL CHAMBER OF COMMERCE AND INDUSTRY OF THE TUNG KUN DISTRICT LAU PAK LOK SECONDARY SCHOOL","東莞工商總會劉百樂中學"
"GERMAN SWISS INTERNATIONAL SCHOOL","德瑞國際學校"
"GERTRUDE SIMON LUTHERAN COLLEGE","路德會西門英才中學"
"GERTRUDE SIMON LUTHERAN EVENING COLLEGE","路德會西門英才夜校"
"GIGAMIND ENGLISH PRIMARY SCHOOL","激活英文小學"
"GIGAMIND KINDERGARTEN","激活幼稚園"
"GLENEALY SCHOOL","己連拿小學"
"GLORIA CREATIVE KINDERGARTEN","耀基創藝幼稚園"
"GLORIA CREATIVE KINDERGARTEN (SHEUNG SHUI)","耀基創藝幼稚園（上水）"
"GOOD COUNSEL CATHOLIC PRIMARY SCHOOL","天主教善導小學"
"GOOD HEALTH ANGLO-CHINESE KINDERGARTEN (MA ON SHAN)","康傑中英文幼稚園(馬鞍山)"
"GOOD HEALTH ANGLO-CHINESE KINDERGARTEN (TSING YI SOUTH)","康傑中英文幼稚園(青衣南)"
"GOOD HEALTH ANGLO-CHINESE KINDERGARTEN (TSING YI)","康傑中英文幼稚園(青衣)"
"GOOD HEALTH KINDERGARTEN (MA ON SHAN)","康傑幼稚園〈馬鞍山〉"
"GOOD HOPE PRIMARY SCHOOL CUM KINDERGARTEN","德望小學暨幼稚園"
"GOOD HOPE SCHOOL","德望學校"
"GRACE BAPTIST KINDERGARTEN","懷恩浸信會幼稚園"
"GRACE CHRISTIAN ACADEMY","培生學校"
"GRACE GARDEN INTERNATIONAL KINDERGARTEN (LEI KING WAN)","雅惠國際幼稚園（鯉景灣）"
"GRACE METHODIST CHURCH KINDERGARTEN","循道衛理聯合教會主恩堂幼稚園"
"GRACEFIELD EAST KOWLOON CHRISTIAN KINDERGARTEN","基督教恩苗東九龍幼稚園"
"GRANTHAM COLLEGE OF EDUCATION PAST STUDENTS' ASSOCIATION WHAMPOA PRIMARY SCHOOL","葛量洪校友會黃埔學校"
"GREENFIELD ENGLISH (INTERNATIONAL) KINDERGARTEN (LOHAS PARK)","綠茵英文（國際）幼稚園（日出康城）"
"GREENFIELD ENGLISH (INTERNATIONAL) KINDERGARTEN (TSEUNG KWAN O)","綠茵英文（國際）幼稚園（將軍澳）"
"GREENVILLE ANGLO-CHINESE KINDERGARTEN","嘉言中英文幼稚園"
"GREENVILLE KIDS' WORLD KINDERGARTEN","翠茵小宇宙幼稚園"
"GUIDEPOST MONTESSORI INTERNATIONAL KINDERGARTEN (CHAI WAN)","基德蒙特梭利國際幼稚園(柴灣)"
"GUIDEPOST MONTESSORI INTERNATIONAL KINDERGARTEN (CLEARWATER BAY)","基德蒙特梭利國際幼稚園（清水灣）"
"GUIDEPOST MONTESSORI INTERNATIONAL KINDERGARTEN (DISCOVERY BAY)","基德蒙特梭利國際幼稚園（愉景灣）"
"GUIDEPOST MONTESSORI INTERNATIONAL KINDERGARTEN (KENNEDY TOWN)","基德蒙特梭利國際幼稚園（堅尼地城）"
"GUIDEPOST MONTESSORI INTERNATIONAL KINDERGARTEN (POK FU LAM)","基德蒙特梭利國際幼稚園（薄扶林）"
"GUIDEPOST MONTESSORI INTERNATIONAL PRE-SCHOOL (HAPPY VALLEY HAWTHORN ROAD)","指南柱蒙特梭利國際學前班（跑馬地荷塘道）"
"GUIDEPOST MONTESSORI INTERNATIONAL PRE-SCHOOL (MID-LEVELS)","GUIDEPOST 蒙特梭利國際學前班（半山）"
"GUIDEPOST MONTESSORI INTERNATIONAL PRE-SCHOOL (REPULSE BAY)","指南柱蒙特梭利國際學前班（淺水灣）"
"GUIDEPOST MONTESSORI INTERNATIONAL PRE-SCHOOL (SAI KUNG)","啟濛濛特梭利國際學前班（西貢）"
"GUIDEPOSTS KINDERGARTEN","佳寶幼稚園"
"GUIDEPOSTS KINDERGARTEN (NAM CHEONG BRANCH)","佳寶幼稚園(南昌分校)"
"GUIDEPOSTS KINDERGARTEN (TUEN MUN BRANCH)","佳寶幼稚園(屯門分校)"
"GUIDEPOSTS KINDERGARTEN 2ND BRANCH (KIN SANG ESTATE)","佳寶幼稚園第二分校（建生邨）"
"GUIDEPOSTS KINDERGARTEN 3RD BRANCH (TIN SHUI ESTATE)","佳寶幼稚園第三分校（天瑞邨）"
"HAN ACADEMY","漢鼎書院"
"HARROW INTERNATIONAL SCHOOL HONG KONG","哈羅香港國際學校"
"HARROW LITTLE LIONS KINDERGARTEN","哈羅小獅幼稚園"
"HARTS PRESCHOOL","樂希幼兒學校"
"HAVEN OF HOPE SUNNYSIDE SCHOOL (PRIMARY SECTION)","靈實恩光學校(小學部)"
"HAVEN OF HOPE SUNNYSIDE SCHOOL (SECONDARY SECTION)","靈實恩光學校(中學部)"
"HEEP HONG SOCIETY HEALTHY KIDS NURSERY SCHOOL","協康會康苗幼稚園"
"HEEP HONG SOCIETY SHANGHAI FRATERNITY ASSOCIATION HEALTHY KIDS KINDERGARTEN","協康會上海總會康苗幼稚園"
"HEEP YUNN PRIMARY SCHOOL","協恩中學附屬小學"
"HEEP YUNN SCHOOL","協恩中學"
"HEEP YUNN SCHOOL PRIVATE KINDERGARTEN","協恩中學附屬幼稚園"
"HELEN LIANG MEMORIAL SECONDARY SCHOOL (SHATIN)","梁文燕紀念中學(沙田)"
"HENG FA CHUEN LUTHERAN DAY NURSERY","路德會杏花邨幼稚園"
"HENG ON BAPTIST NURSERY SCHOOL","恒安浸信會幼兒學校"
"HENNESSY ROAD GOVERNMENT PRIMARY SCH","軒尼詩道官立小學"
"HENNESSY ROAD GOVERNMENT PRIMARY SCHOOL (CAUSEWAY BAY)","軒尼詩道官立小學(銅鑼灣)"
"HENRIETTA SECONDARY SCHOOL","顯理中學"
"HEUNG TO MIDDLE SCHOOL","香島中學"
"HEUNG TO MIDDLE SCHOOL (TIN SHUI WAI)","天水圍香島中學"
"HEUNG TO SECONDARY SCHOOL (TSEUNG KWAN O)","將軍澳香島中學"
"HHCKLA BUDDHIST CHAN SHI WAN PRIMARY SCHOOL","香海正覺蓮社佛教陳式宏學校"
"HHCKLA BUDDHIST CHING KOK LIN ASSOCIATION SCHOOL","香海正覺蓮社佛教正覺蓮社學校"
"HHCKLA BUDDHIST CHING KOK SECONDARY SCHOOL","香海正覺蓮社佛教正覺中學"
"HHCKLA BUDDHIST LAM WONG MING WAI KINDERGARTEN","香海正覺蓮社佛教林黃明慧幼稚園"
"HHCKLA BUDDHIST LEUNG CHIK WAI COLLEGE","香海正覺蓮社佛教梁植偉中學"
"HHCKLA BUDDHIST MA KAM CHAN MEMORIAL ENGLISH SECONDARY SCHOOL","香海正覺蓮社佛教馬錦燦紀念英文中學"
"HHCKLA BUDDHIST PO KWONG SCHOOL (PRIMARY SECTION)","香海正覺蓮社佛教普光學校(小學部)"
"HHCKLA BUDDHIST PO KWONG SCHOOL (SECONDARY SECTION)","香海正覺蓮社佛教普光學校(中學部)"
"HHCKLA BUDDHIST WAI KWONG KA FUK KINDERGARTEN","香海正覺蓮社佛教慧光嘉福幼稚園"
"HHCKLA BUDDHIST WAI KWONG KINDERGARTEN","香海正覺蓮社佛教慧光幼稚園"
"HHCKLA BUDDHIST WISDOM PRIMARY SCHOOL","香海正覺蓮社佛教正慧小學"
"HHCKLA BUDDHIST WONG CHO SUM SCHOOL","香海正覺蓮社佛教黃藻森學校"
"HIGHGATE HOUSE SCHOOL - THE PEAK","海蓋特豪斯學校 - 山頂"
"HKCA PO LEUNG KUK SCHOOL","保良局建造商會學校"
"HKEC ELITE KINDERGARTEN","香港宣教會優質幼兒學校"
"HKFEW WONG CHO BAU SCHOOL","香港教育工作者聯會黃楚標學校"
"HKFEW WONG CHO BAU SECONDARY SCHOOL","香港教育工作者聯會黃楚標中學"
"HKFYG LEE SHAU KEE COLLEGE","香港青年協會李兆基書院"
"HKFYG LEE SHAU KEE PRIMARY SCHOOL","香港青年協會李兆基小學"
"HKMA DAVID LI KWOK PO COLLEGE","香港管理專業協會李國寶中學"
"HKSKH ST PETER'S CHURCH CASTLE PEAK TSING WUN ROAD KINDERGARTEN","香港聖公會青山聖彼得堂青雲路幼稚園"
"HKSYC&IA CHAN NAM CHONG MEMORIAL SCHOOL (PRIMARY SECTION)","香港四邑商工總會陳南昌紀念學校(小學部)"
"HKSYC&IA CHAN NAM CHONG MEMORIAL SCHOOL (SECONDARY SECTION)","香港四邑商工總會陳南昌紀念學校(中學部)"
"HKUGA COLLEGE","港大同學會書院"
"HKUGA PRIMARY SCHOOL","港大同學會小學"
"HKVNS ALUMNI ASSOCIATION KINDERGARTEN (KCC)","漢師幼稚園(龍總)"
"HO CHING KINDERGARTEN (SPONSORED BY SIK SIK YUEN)","嗇色園主辦可正幼稚園"
"HO DAO COLLEGE (SPONSORED BY SIK SIK YUEN)","可道中學(嗇色園主辦)"
"HO FUNG COLLEGE (SPONSORED BY THE SIK SIK YUEN)","可風中學(嗇色園主辦)"
"HO KOON NATURE EDUCATION CUM ASTRONOMICAL CENTRE","可觀自然教育中心暨天文館"
"HO LAP COLLEGE (SPONSORED BY THE SIK SIK YUEN)","可立中學(嗇色園主辦)"
"HO LAP KINDERGARTEN (SPONSORED BY SIK SIK YUEN)","嗇色園主辦可立幼稚園"
"HO LAP PRIMARY SCHOOL (SPONSORED BY SIK SIK YUEN)","嗇色園主辦可立小學"
"HO MING PRIMARY SCHOOL (SPONSORED BY SIK SIK YUEN)","嗇色園主辦可銘學校"
"HO NGAI COLLEGE (SPONSORED BY SIK SIK YUEN)","嗇色園主辦可藝中學"
"HO OI DAY NURSERY (SPONSORED BY SIK SIK YUEN)","嗇色園主辦可愛幼稚園"
"HO SHUI KINDERGARTEN SPONSORED BY SIK SIK YUEN","嗇色園主辦可瑞幼稚園"
"HO SHUN PRIMARY SCHOOL (SPONSORED BY THE SIK SIK YUEN)","嗇色園主辦可信學校"
"HO TAK KINDERGARTEN (SPONSORED BY SIK SIK YUEN)","嗇色園主辦可德幼稚園"
"HO YAN KINDERGARTEN (SPONSORED BY SIK SIK YUEN)","嗇色園主辦可仁幼稚園"
"HO YU COLLEGE AND PRIMARY SCHOOL (SPONSORED BY SIK SIK YUEN)","嗇色園主辦可譽中學暨可譽小學"
"HOH FUK TONG KINDERGARTEN (TUEN MUN CHURCH, THE CHURCH OF CHRIST IN CHINA, HONG KONG COUNCIL)","中華基督教會屯門堂何福堂幼稚園"
"HOI PA STREET GOVERNMENT PRIMARY SCH","海壩街官立小學"
"HOI PING CHAMBER OF COMMERCE PRIMARY SCHOOL","旅港開平商會學校"
"HOI PING CHAMBER OF COMMERCE SECONDARY SCHOOL","旅港開平商會中學"
"HOLY ANGELS CANOSSIAN SCHOOL","天神嘉諾撒學校"
"HOLY CROSS LUTHERAN SCHOOL","路德會聖十架學校"
"HOLY FAMILY CANOSSIAN COLLEGE","嘉諾撒聖家書院"
"HOLY FAMILY CANOSSIAN SCHOOL","嘉諾撒聖家學校"
"HOLY FAMILY CANOSSIAN SCHOOL (KOWLOON TONG)","嘉諾撒聖家學校(九龍塘)"
"HOLY FAMILY SCHOOL","聖家學校"
"HOLY TRINITY CENTRE KINDERGARTEN","聖三一中心幼稚園"
"HOLY TRINITY COLLEGE","寶血會上智英文書院"
"HOLY TRINITY PRIMARY SCHOOL","聖三一堂小學"
"HOMANTIN BAPTIST CHURCH KINDERGARTEN","何文田浸信會幼稚園"
"HOMANTIN GOVERNMENT SECONDARY SCHOOL","何文田官立中學"
"HOMANTIN YANG MEMORIAL METHODIST PRE-SCHOOL","何文田循道衛理楊震幼兒學校"
"HON WAH COLLEGE","漢華中學"
"HONG CHI LIONS MORNINGHILL SCHOOL (PRIMARY SECTION)","匡智獅子會晨崗學校(小學部)"
"HONG CHI LIONS MORNINGHILL SCHOOL (SECONDARY SECTION)","匡智獅子會晨崗學校(中學部)"
"HONG CHI MORNINGHILL SCHOOL, TSUI LAM (PRIMARY SECTION)","匡智翠林晨崗學校(小學部)"
"HONG CHI MORNINGHILL SCHOOL, TSUI LAM (SECONDARY SECTION)","匡智翠林晨崗學校(中學部)"
"HONG CHI MORNINGHILL SCHOOL, TUEN MUN (PRIMARY SECTION)","匡智屯門晨崗學校 (小學部)"
"HONG CHI MORNINGHILL SCHOOL, TUEN MUN (SECONDARY SECTION)","匡智屯門晨崗學校(中學部)"
"HONG CHI MORNINGHOPE SCHOOL, TUEN MUN (PRIMARY SECTION)","匡智屯門晨輝學校(小學部)"
"HONG CHI MORNINGHOPE SCHOOL, TUEN MUN (SECONDARY SECTION)","匡智屯門晨輝學校(中學部)"
"HONG CHI MORNINGJOY SCHOOL, YUEN LONG (PRIMARY SECTION)","匡智元朗晨樂學校(小學部)"
"HONG CHI MORNINGJOY SCHOOL, YUEN LONG (SECONDARY SECTION)","匡智元朗晨樂學校(中學部)"
"HONG CHI MORNINGLIGHT SCHOOL, TUEN MUN (PRIMARY SECTION)","匡智屯門晨曦學校(小學部)"
"HONG CHI MORNINGLIGHT SCHOOL, TUEN MUN (SECONDARY SECTION)","匡智屯門晨曦學校(中學部)"
"HONG CHI MORNINGLIGHT SCHOOL, YUEN LONG (PRIMARY SECTION)","匡智元朗晨曦學校(小學部)"
"HONG CHI MORNINGLIGHT SCHOOL, YUEN LONG (SECONDARY SECTION)","匡智元朗晨曦學校(中學部)"
"HONG CHI PINEHILL NO.2 SCHOOL","匡智松嶺第二校"
"HONG CHI PINEHILL NO.2 SCHOOL (PRIMARY SECTION)","匡智松嶺第二校(小學部)"
"HONG CHI PINEHILL NO.3 SCHOOL (PRIMARY SECTION)","匡智松嶺第三校(小學部)"
"HONG CHI PINEHILL NO.3 SCHOOL (SECONDARY SECTION)","匡智松嶺第三校(中學部)"
"HONG CHI PINEHILL SCHOOL (PRIMARY SECTION)","匡智松嶺學校(小學部)"
"HONG CHI PINEHILL SCHOOL (SECONDARY SECTION)","匡智松嶺學校(中學部)"
"HONG CHI SHIU PONG MORNINGHOPE SCHOOL(PRIMARY SECTION)","匡智紹邦晨輝學校(小學部)"
"HONG CHI SHIU PONG MORNINGHOPE SCHOOL(SECONDARY SECTION)","匡智紹邦晨輝學校(中學部)"
"HONG CHI WINIFRED MARY CHEUNG MORNINGHOPE SCHOOL (PRIMARY SECTION)","匡智張玉瓊晨輝學校(小學部)"
"HONG CHI WINIFRED MARY CHEUNG MORNINGHOPE SCHOOL (SECONDARY SECTION)","匡智張玉瓊晨輝學校(中學部)"
"HONG KONG & KOWLOON CHIU CHOW PUBLIC ASSOCIATION SECONDARY SCHOOL","港九潮州公會中學"
